Ticker,Name,,Symbol
FGP,FirstGroup,.L,FGP.L
MAB1,Mortgage Advice Bureau Holdings Ltd,.L,MAB1.L
POG,Petropavlovsk,.L,POG.L
HFD,Halfords Group,.L,HFD.L
MXCT,Maxcyte Inc,.L,MXCT.L
WHR,Warehouse REIT,.L,WHR.L
CMCX,CMC Markets,.L,CMCX.L
OCI,Oakley Capital Investments Ltd,.L,OCI.L
FEML,Fidelity Emerging Markets Ltd,.L,FEML.L
ERGO,Ergomed,.L,ERGO.L
AUSC,Abrdn UK Smaller Companies Growth Trust,.L,AUSC.L
BAKK,Bakkavor Group,.L,BAKK.L
RNK,Rank Group,.L,RNK.L
JGGI,JPMorgan Global Growth & Income,.L,JGGI.L
TMPL,Temple Bar Investment Trust,.L,TMPL.L
CLG,Clipper Logistics Group Ltd,.L,CLG.L
THRL,Target Healthcare REIT Ltd,.L,THRL.L
NCC,NCC Group,.L,NCC.L
CRE,Conduit Holdings Ltd,.L,CRE.L
HOME,Home Reit,.L,HOME.L
RTN,Restaurant Group,.L,RTN.L
HBRN,Hibernia REIT,.L,HBRN.L
ICGC,Irish Continental Group,.L,ICGC.L
AMS,Advanced Medical Solutions Group,.L,AMS.L
RICA,Ruffer Investment Company Ltd,.L,RICA.L
CRN,Cairn Homes,.L,CRN.L
MRCH,Merchants Trust,.L,MRCH.L
KLR,Keller Group,.L,KLR.L
HOTC,Hotel Chocolat Group Ltd,.L,HOTC.L
SOI,Schroder Oriental Income Fund Ltd,.L,SOI.L
YNGA,Young & Co's Brewery,.L,YNGA.L
YNGN,Young & Co's Brewery,.L,YNGN.L
TRG,TR European Growth Trust,.L,TRG.L
FDEV,Frontier Developments,.L,FDEV.L
BRGE,BlackRock Greater Europe Investment Trust,.L,BRGE.L
BGS,Baillie Gifford Shin Nippon,.L,BGS.L
SEPL,SEPLAT Petroleum Development Co,.L,SEPL.L
GNC,Greencore Group,.L,GNC.L
WJG,Watkin Jones,.L,WJG.L
EUA,Eurasia Mining,.L,EUA.L
VTC,Vitec Group,.L,VTC.L
DAL,Dalata Hotel Group Ltd,.L,DAL.L
HOC,Hochschild Mining,.L,HOC.L
RNWH,Renew Holdings,.L,RNWH.L
RST,Restore,.L,RST.L
CTH,CareTech Holdings,.L,CTH.L
SQZ,Serica Energy,.L,SQZ.L
TLW,Tullow Oil,.L,TLW.L
NAS,North Atlantic Smaller Companies Inv Trust,.L,NAS.L
SOLG,SolGold,.L,SOLG.L
WPS,W.A.G Payment Solutions,.L,WPS.L
DFS,DFS Furniture,.L,DFS.L
JLEN,JLEN Environmental Assets Group Ltd,.L,JLEN.L
,FTSE 250 automatic exit position,.L,.L
STEM,SThree,.L,STEM.L
IBPO,Ienergizer Ltd,.L,IBPO.L
CPI,Capita,.L,CPI.L
JII,JPMorgan Indian Investment Trust,.L,JII.L
ORIT,Octopus Renewables Infrastructure Trust,.L,ORIT.L
YCA,Yellow Cake,.L,YCA.L
DGN,Asia Dragon Trust,.L,DGN.L
FSFL,Foresight Solar Fund Ltd,.L,FSFL.L
FORT,Forterra,.L,FORT.L
BSIF,Bluefield Solar Income Fund Ltd,.L,BSIF.L
WIX,Wickes Group,.L,WIX.L
JSG,Johnson Service Group,.L,JSG.L
GGP,Greatland Gold,.L,GGP.L
RWI,Renewi,.L,RWI.L
PANR,Pantheon Resources,.L,PANR.L
RWA,Robert Walters,.L,RWA.L
KETL,Strix Group,.L,KETL.L
PPH,PPHE Hotel Group Ltd,.L,PPH.L
NESF,NextEnergy Solar Fund Ltd,.L,NESF.L
CSH,Civitas Social Housing,.L,CSH.L
PRSR,PRS REIT,.L,PRSR.L
PFC,Petrofac Ltd,.L,PFC.L
TFIF,TwentyFour Income Fund Ltd,.L,TFIF.L
APH,Alliance Pharma,.L,APH.L
SNR,Senior,.L,SNR.L
BAG,Barr (AG),.L,BAG.L
ALFA,Alfa Financial Software Holdings,.L,ALFA.L
HWG,Harworth Group,.L,HWG.L
MLI,Industrials Reit Ltd,.L,MLI.L
DOTD,Dotdigital Group,.L,DOTD.L
ATYM,Atalaya Mining,.L,ATYM.L
TFW,Thorpe (F W),.L,TFW.L
DMGT,Daily Mail and General Trust,.L,DMGT.L
GRID,Gresham House Energy Storage Fund,.L,GRID.L
SHI,SIG,.L,SHI.L
MIDW,Midwich Group,.L,MIDW.L
FDP,FD Technologies,.L,FDP.L
PCTN,Picton Property Income Ltd,.L,PCTN.L
AFM,Alpha Financial Markets Consulting,.L,AFM.L
SCIN,Scottish Investment Trust,.L,SCIN.L
MTVW,Mountview Estates,.L,MTVW.L
LUCE,Luceco,.L,LUCE.L
MADE,Made.Com Group,.L,MADE.L
FSG,Foresight Group Holdings Ltd,.L,FSG.L
ATR,Schroder Asian Total Return Investment Company,.L,ATR.L
HLCL,Helical,.L,HLCL.L
TGA,Thungela Resources Ltd,.L,TGA.L
NICL,Nichols,.L,NICL.L
BGEU,Baillie Gifford European Growth Trust,.L,BGEU.L
JDG,Judges Scientific,.L,JDG.L
MWY,Mid Wynd International Inv Trust,.L,MWY.L
CGI,Canadian General Investments Ltd,.L,CGI.L
SRC,SigmaRoc,.L,SRC.L
VLX,Volex Group,.L,VLX.L
AO.,AO World,.L,AO..L
ESP,Empiric Student Property,.L,ESP.L
KCT,Kin and Carta,.L,KCT.L
EAT,European Assets Trust NV,.L,EAT.L
MARS,Marston's,.L,MARS.L
KIE,Kier Group,.L,KIE.L
DIG,Dunedin Income Growth Inv Trust,.L,DIG.L
BIOG,Biotech Growth Trust,.L,BIOG.L
RGL,Regional REIT Ltd,.L,RGL.L
BOKU,Boku Inc,.L,BOKU.L
PCFT,Polar Capital Global Financials Trust,.L,PCFT.L
SGC,Stagecoach Group,.L,SGC.L
AMYT,Amryt Pharma,.L,AMYT.L
RQIH,Randall & Quilter Investment Holdings,.L,RQIH.L
BUT,Brunner Investment Trust,.L,BUT.L
WINE,Naked Wines,.L,WINE.L
AAS,Aberdeen Standard Asia Focus,.L,AAS.L
UEM,Utilico Emerging Markets Ltd,.L,UEM.L
CREI,Custodian Reit,.L,CREI.L
CORD,Cordiant Digital Infrastructure Ltd,.L,CORD.L
JCH,JPMorgan Claverhouse Investment Trust,.L,JCH.L
OTB,On The Beach Group,.L,OTB.L
RENX,Renalytix AI,.L,RENX.L
LSL,LSL Property Services,.L,LSL.L
GYM,The Gym Group,.L,GYM.L
SBRE,Sabre Insurance Group,.L,SBRE.L
TTG,TT Electronics,.L,TTG.L
PAY,PayPoint,.L,PAY.L
GLE,MJ Gleeson,.L,GLE.L
MTW,Mattioli Woods,.L,MTW.L
BRK,Brooks Macdonald Group,.L,BRK.L
WIN,Wincanton,.L,WIN.L
HFEL,Henderson Far East Income Ltd,.L,HFEL.L
ARB,Argo Blockchain,.L,ARB.L
PAC,Pacific Assets Trust,.L,PAC.L
CAML,Central Asia Metals,.L,CAML.L
CINE,Cineworld Group,.L,CINE.L
JAGI,JPMorgan Asia Growth & Income,.L,JAGI.L
MPE,M.P. Evans Group,.L,MPE.L
JEMI,JPMorgan Global Emerging Markets Income Trust,.L,JEMI.L
ASLI,Aberdeen Standard European Logistics Income,.L,ASLI.L
KMR,Kenmare Resources,.L,KMR.L
PODP,Pod Point Group Holdings,.L,PODP.L
GABI,GCP Asset Backed Income Fund Ltd,.L,GABI.L
INDI,Indus Gas Ltd,.L,INDI.L
TKO,Taseko Mines Ltd,.L,TKO.L
CSN,Chesnara,.L,CSN.L
JETG+JETI,JPMorgan European Investment Trust,.L,JETG+JETI.L
PINT,Pantheon Infrastructure,.L,PINT.L
SEE,Seeing Machines Ltd,.L,SEE.L
DIVI,Diverse Income Trust,.L,DIVI.L
IHR,Impact Healthcare REIT,.L,IHR.L
SNG,Synairgen,.L,SNG.L
LBG,LBG Media,.L,LBG.L
JCGI,JPMorgan China Growth & Income,.L,JCGI.L
NAIT,North American Income Trust,.L,NAIT.L
MTE,Montanaro European Smaller Companies Trust,.L,MTE.L
GSF,Gore Street Energy Storage Fund,.L,GSF.L
BMK,Benchmark Holdings,.L,BMK.L
ABDP,AB Dynamics,.L,ABDP.L
BOWL,Hollywood Bowl Group,.L,BOWL.L
AAIF,Aberdeen Asian Income Fund Ltd,.L,AAIF.L
SOHO,Triple Point Social Housing REIT,.L,SOHO.L
JLP,Jubilee Metals Group,.L,JLP.L
NUM,Numis Corporation,.L,NUM.L
JSE,Jadestone Energy Inc,.L,JSE.L
FCH,Funding Circle Holdings,.L,FCH.L
SWEF,Starwood European Real Estate Finance Ltd,.L,SWEF.L
GKP,Gulf Keystone Petroleum Ltd,.L,GKP.L
BOCH,Bank of Cyprus Holdings,.L,BOCH.L
TBLD,tinyBuild Inc,.L,TBLD.L
DWF,DWF Group Ltd,.L,DWF.L
SAGA,Saga,.L,SAGA.L
SPEC,Inspecs Group,.L,SPEC.L
BOOT,Boot (Henry),.L,BOOT.L
PCGH,Polar Capital Global Healthcare Growth & Income,.L,PCGH.L
BGUK,Baillie Gifford UK Growth Fund,.L,BGUK.L
VP.,Vp,.L,VP..L
PSDL,Phoenix Spree Deutschland Ltd,.L,PSDL.L
VIC,Victorian Plumbing Group,.L,VIC.L
MNP,Martin Currie Global Portfolio Trust,.L,MNP.L
AFC,AFC Energy,.L,AFC.L
REVB,Revolution Beauty Group,.L,REVB.L
BPET,BMO Private Equity Trust,.L,BPET.L
TI1,Trian Investors 1 Ltd,.L,TI1.L
BCI,BMO Capital and Income Investment Trust,.L,BCI.L
GENL,Genel Energy,.L,GENL.L
CNIC,CentralNic Group,.L,CNIC.L
ANII,Aberdeen New India Investment Trust,.L,ANII.L
